,A,B,C
0,0.0,994.0,0.0
1,53.0,0.0,0.0
2,0.0,1164.0,284.0
3,178.0,1456.0,367.0
4,91.0,1046.0,151.0
5,163.0,1217.0,341.0
6,180.0,1273.0,375.0
7,66.0,1028.0,95.0
8,0.0,1253.0,53.0
9,172.0,1276.0,354.0
10,0.0,983.0,0.0
11,154.0,1175.0,53.0
12,0.0,1017.0,0.0
13,188.0,1265.0,0.0
14,90.0,1168.0,389.0
15,0.0,983.0,0.0
16,0.0,983.0,0.0
17,0.0,984.0,0.0
18,77.0,1047.0,99.0
19,0.0,1001.0,90.0
20,65.0,0.0,72.0
21,70.0,1016.0,81.0
22,68.0,998.0,83.0
23,77.0,982.0,106.0
24,51.0,997.0,0.0
25,52.0,0.0,0.0
26,56.0,984.0,75.0
27,0.0,1006.0,69.0
28,0.0,0.0,102.0
29,59.0,0.0,0.0
30,52.0,0.0,0.0
31,0.0,987.0,0.0
32,0.0,991.0,0.0
33,53.0,0.0,83.0
34,73.0,0.0,89.0
35,103.0,0.0,101.0
36,88.0,0.0,85.0
37,65.0,0.0,65.0
38,93.0,984.0,86.0
39,60.0,2426.0,100.0
40,71.0,0.0,57.0
41,91.0,984.0,87.0
42,98.0,0.0,83.0
43,92.0,981.0,79.0
44,56.0,988.0,52.0
45,89.0,0.0,79.0
46,61.0,0.0,73.0
47,64.0,0.0,57.0
48,0.0,0.0,71.0
49,0.0,0.0,74.0
50,0.0,995.0,79.0
51,0.0,983.0,77.0
52,52.0,989.0,105.0
53,0.0,0.0,76.0
54,0.0,0.0,83.0
55,52.0,0.0,98.0
56,0.0,0.0,81.0
57,0.0,0.0,98.0
58,51.0,0.0,84.0
59,51.0,0.0,61.0
60,0.0,0.0,91.0
61,0.0,0.0,98.0
62,0.0,0.0,87.0
63,0.0,0.0,69.0
64,55.0,0.0,98.0
65,53.0,0.0,101.0
66,60.0,0.0,103.0
67,53.0,0.0,87.0
68,58.0,0.0,0.0
69,0.0,0.0,76.0
70,53.0,0.0,77.0
71,0.0,981.0,99.0
72,51.0,0.0,67.0
73,57.0,0.0,76.0
74,0.0,0.0,63.0
75,59.0,0.0,87.0
76,0.0,0.0,93.0
77,0.0,0.0,76.0
78,80.0,983.0,84.0
79,61.0,0.0,64.0
80,95.0,981.0,65.0
81,95.0,996.0,57.0
82,0.0,0.0,85.0
83,68.0,0.0,106.0
84,57.0,0.0,73.0
85,60.0,0.0,98.0
86,63.0,0.0,102.0
87,51.0,1010.0,77.0
88,58.0,0.0,85.0
89,59.0,0.0,93.0
90,61.0,0.0,84.0
91,58.0,0.0,0.0
92,57.0,0.0,74.0
93,0.0,0.0,62.0
94,71.0,0.0,0.0
95,60.0,0.0,58.0
96,66.0,0.0,0.0
97,58.0,0.0,83.0
98,65.0,0.0,102.0
99,65.0,0.0,51.0
100,0.0,0.0,103.0
101,61.0,0.0,104.0
102,0.0,994.0,106.0
103,64.0,0.0,56.0
104,0.0,0.0,65.0
105,58.0,0.0,81.0
106,71.0,0.0,55.0
107,60.0,0.0,51.0
108,0.0,0.0,112.0
109,59.0,0.0,108.0
110,72.0,0.0,109.0
111,0.0,0.0,113.0
112,51.0,0.0,55.0
113,54.0,0.0,76.0
114,74.0,0.0,100.0
115,57.0,0.0,84.0
116,72.0,0.0,63.0
117,69.0,0.0,0.0
118,59.0,0.0,57.0
119,76.0,0.0,111.0
120,57.0,0.0,91.0
121,57.0,0.0,98.0
122,0.0,0.0,114.0
123,0.0,0.0,102.0
124,56.0,1003.0,59.0
125,73.0,1093.0,65.0
126,123.0,0.0,55.0
127,62.0,988.0,100.0
128,61.0,0.0,92.0
129,58.0,1019.0,63.0
130,0.0,1064.0,59.0
131,51.0,1000.0,64.0
132,53.0,993.0,60.0
133,58.0,1032.0,62.0
134,114.0,1070.0,131.0
135,84.0,1017.0,109.0
136,77.0,1048.0,81.0
137,51.0,1011.0,58.0
138,51.0,991.0,73.0
139,102.0,1036.0,115.0
140,54.0,1085.0,61.0
141,51.0,1054.0,71.0
142,110.0,1098.0,130.0
143,82.0,1025.0,111.0
144,0.0,993.0,90.0
145,63.0,983.0,51.0
146,104.0,988.0,132.0
147,60.0,1117.0,84.0
148,126.0,1105.0,53.0
149,81.0,985.0,122.0
150,95.0,1009.0,74.0
151,96.0,1053.0,86.0
152,129.0,0.0,114.0
153,88.0,990.0,73.0
154,112.0,982.0,56.0
155,119.0,1017.0,81.0
156,110.0,983.0,94.0
157,68.0,0.0,69.0
158,119.0,0.0,101.0
159,86.0,992.0,72.0
160,114.0,1002.0,96.0
161,120.0,1002.0,108.0
162,101.0,990.0,82.0
163,124.0,0.0,55.0
164,78.0,986.0,70.0
165,90.0,0.0,80.0
166,123.0,987.0,75.0
167,100.0,993.0,96.0
168,112.0,981.0,120.0
169,118.0,0.0,101.0
170,126.0,993.0,109.0
171,107.0,0.0,105.0
172,107.0,0.0,89.0
173,109.0,982.0,93.0
174,91.0,996.0,73.0
175,53.0,986.0,97.0
176,89.0,998.0,73.0
177,126.0,1026.0,112.0
178,79.0,997.0,66.0
179,136.0,987.0,119.0
180,143.0,1009.0,123.0
181,90.0,981.0,92.0
182,96.0,1010.0,81.0
183,117.0,982.0,68.0
184,127.0,1004.0,108.0
185,115.0,983.0,102.0
186,94.0,1004.0,126.0
187,121.0,1010.0,109.0
188,102.0,986.0,83.0
189,114.0,986.0,101.0
190,67.0,982.0,66.0
191,111.0,1001.0,93.0
192,55.0,1005.0,54.0
193,98.0,985.0,68.0
194,99.0,1011.0,104.0
195,76.0,0.0,69.0
196,53.0,1004.0,99.0
197,71.0,989.0,63.0
198,141.0,1022.0,0.0
199,91.0,987.0,72.0
