,A,B,C
0,59.0,986.0,81.0
1,0.0,985.0,0.0
2,0.0,990.0,0.0
3,0.0,983.0,0.0
4,0.0,991.0,0.0
5,0.0,985.0,0.0
6,0.0,985.0,0.0
7,0.0,987.0,0.0
8,0.0,986.0,0.0
9,0.0,993.0,0.0
10,62.0,1000.0,52.0
11,0.0,991.0,0.0
12,0.0,1001.0,0.0
13,0.0,991.0,0.0
14,0.0,1007.0,0.0
15,0.0,982.0,151.0
16,58.0,988.0,55.0
17,64.0,983.0,134.0
18,62.0,1041.0,68.0
19,68.0,984.0,99.0
20,118.0,983.0,191.0
21,0.0,1000.0,0.0
22,0.0,983.0,0.0
23,0.0,986.0,0.0
24,0.0,981.0,0.0
25,0.0,985.0,0.0
26,0.0,987.0,0.0
27,0.0,992.0,0.0
28,0.0,982.0,0.0
29,0.0,989.0,0.0
30,0.0,989.0,0.0
31,0.0,986.0,0.0
32,0.0,994.0,0.0
33,0.0,995.0,56.0
34,0.0,1003.0,0.0
