,A,B,C
0,972.0,57.0,51.0
1,980.0,0.0,0.0
2,984.0,53.0,0.0
3,986.0,53.0,0.0
4,977.0,51.0,0.0
5,971.0,0.0,0.0
6,979.0,51.0,0.0
7,1009.0,60.0,0.0
8,995.0,57.0,0.0
9,987.0,53.0,0.0
10,984.0,59.0,0.0
11,1011.0,60.0,0.0
12,983.0,61.0,52.0
13,994.0,66.0,52.0
14,980.0,74.0,51.0
15,0.0,64.0,55.0
16,981.0,54.0,0.0
17,991.0,55.0,0.0
18,973.0,79.0,54.0
19,978.0,61.0,51.0
20,984.0,64.0,0.0
21,976.0,60.0,51.0
22,980.0,57.0,0.0
23,995.0,53.0,0.0
24,983.0,0.0,0.0
25,983.0,0.0,0.0
26,978.0,0.0,0.0
27,977.0,52.0,0.0
28,994.0,0.0,0.0
29,988.0,0.0,0.0
30,975.0,67.0,0.0
31,982.0,0.0,0.0
32,978.0,0.0,0.0
33,973.0,63.0,0.0
34,972.0,52.0,51.0
35,974.0,0.0,0.0
36,974.0,56.0,51.0
37,986.0,57.0,0.0
38,975.0,56.0,0.0
39,982.0,0.0,0.0
40,985.0,58.0,52.0
41,983.0,54.0,63.0
42,973.0,52.0,53.0
43,972.0,55.0,69.0
44,977.0,0.0,0.0
45,973.0,0.0,51.0
46,981.0,51.0,54.0
47,975.0,54.0,0.0
48,986.0,52.0,0.0
49,988.0,53.0,51.0
50,985.0,54.0,0.0
51,0.0,54.0,52.0
52,976.0,59.0,52.0
53,984.0,57.0,53.0
54,987.0,63.0,0.0
55,979.0,57.0,0.0
56,987.0,70.0,0.0
57,975.0,70.0,0.0
58,972.0,57.0,0.0
59,982.0,53.0,52.0
60,973.0,51.0,0.0
61,976.0,0.0,60.0
62,979.0,51.0,52.0
63,971.0,0.0,0.0
64,986.0,53.0,60.0
65,975.0,52.0,0.0
66,994.0,0.0,0.0
67,974.0,53.0,53.0
68,973.0,54.0,0.0
69,986.0,52.0,0.0
70,978.0,54.0,0.0
71,0.0,54.0,51.0
72,985.0,0.0,0.0
73,975.0,0.0,0.0
74,973.0,0.0,0.0
