,A,B,C,S,D
0,546.0,0.0,0.0,1,3
1,0.0,275.0,163.0,3,3
2,0.0,61.0,0.0,3,1
3,532.0,0.0,81.0,1,2
4,0.0,149.0,72.0,2,1
5,0.0,117.0,0.0,1,3
6,554.0,160.0,0.0,3,1
7,654.0,283.0,110.0,1,3
8,523.0,140.0,99.0,3,3
9,515.0,98.0,166.0,3,2
10,815.0,450.0,129.0,2,1
11,0.0,175.0,91.0,1,3
12,772.0,0.0,334.0,3,2
13,0.0,182.0,0.0,2,3
14,546.0,196.0,0.0,3,2
15,712.0,350.0,0.0,2,1
16,1151.0,0.0,509.0,1,2
17,779.0,192.0,273.0,2,3
18,732.0,0.0,0.0,3,1
19,0.0,310.0,0.0,1,1
20,955.0,564.0,0.0,1,3
21,0.0,141.0,103.0,3,3
22,531.0,0.0,192.0,3,3
23,784.0,331.0,90.0,3,1
24,0.0,161.0,133.0,1,3
25,0.0,109.0,88.0,3,3
26,623.0,146.0,51.0,3,1
27,0.0,260.0,84.0,1,1
28,572.0,0.0,0.0,1,1
29,860.0,182.0,216.0,1,2
30,930.0,61.0,121.0,2,1
31,556.0,294.0,147.0,1,3
32,896.0,222.0,0.0,3,2
33,519.0,0.0,131.0,2,3
34,643.0,368.0,100.0,3,1
35,528.0,247.0,131.0,1,3
36,532.0,218.0,96.0,3,3
37,681.0,323.0,76.0,3,1
38,654.0,374.0,69.0,1,1
39,695.0,187.0,253.0,1,2
40,532.0,360.0,177.0,2,3
41,695.0,350.0,325.0,3,3
42,933.0,0.0,0.0,3,1
43,806.0,193.0,149.0,1,2
44,579.0,101.0,113.0,2,2
45,637.0,0.0,75.0,2,1
46,706.0,395.0,114.0,1,1
47,519.0,87.0,0.0,1,2
48,554.0,222.0,65.0,2,3
49,525.0,213.0,0.0,3,3
50,1150.0,317.0,365.0,3,2
51,0.0,179.0,108.0,2,3
52,711.0,170.0,212.0,3,2
53,674.0,155.0,71.0,2,1
54,526.0,203.0,162.0,1,3
55,825.0,0.0,90.0,3,1
56,638.0,351.0,63.0,1,1
57,948.0,520.0,113.0,1,1
58,511.0,126.0,72.0,1,3
59,0.0,127.0,76.0,3,3
60,0.0,0.0,120.0,3,3
61,0.0,133.0,0.0,3,1
62,530.0,0.0,73.0,1,2
63,526.0,0.0,67.0,2,2
