,col1,col2,col3
0,54.0,684.0,68.0
1,54.0,675.0,88.0
2,53.0,668.0,83.0
3,56.0,662.0,51.0
4,53.0,665.0,62.0
5,71.0,666.0,59.0
6,67.0,665.0,60.0
7,60.0,665.0,65.0
8,56.0,669.0,72.0
9,53.0,664.0,58.0
10,51.0,685.0,58.0
11,52.0,668.0,77.0
12,54.0,668.0,51.0
13,54.0,661.0,59.0
14,56.0,665.0,55.0
15,52.0,661.0,54.0
16,53.0,666.0,81.0
17,58.0,670.0,85.0
18,73.0,693.0,88.0
19,61.0,693.0,81.0
20,56.0,668.0,75.0
21,53.0,665.0,0.0
22,52.0,661.0,76.0
23,52.0,674.0,80.0
24,54.0,676.0,72.0
25,55.0,675.0,66.0
26,56.0,661.0,67.0
27,65.0,674.0,66.0
28,57.0,698.0,57.0
29,56.0,702.0,54.0
30,58.0,669.0,53.0
31,59.0,675.0,66.0
32,59.0,665.0,72.0
33,58.0,668.0,78.0
34,60.0,669.0,69.0
35,54.0,678.0,67.0
36,58.0,665.0,0.0
37,57.0,674.0,78.0
38,57.0,662.0,82.0
39,74.0,703.0,57.0
40,61.0,709.0,62.0
41,55.0,698.0,57.0
42,65.0,677.0,0.0
43,66.0,669.0,58.0
44,71.0,669.0,62.0
45,65.0,720.0,92.0
46,55.0,722.0,82.0
47,54.0,723.0,0.0
48,56.0,755.0,95.0
49,77.0,707.0,0.0
50,84.0,683.0,61.0
51,87.0,673.0,67.0
52,91.0,662.0,68.0
53,93.0,674.0,70.0
54,99.0,662.0,73.0
55,95.0,675.0,0.0
56,81.0,665.0,64.0
57,84.0,700.0,58.0
58,87.0,726.0,80.0
59,82.0,726.0,80.0
60,70.0,744.0,83.0
61,69.0,738.0,85.0
62,74.0,742.0,82.0
63,79.0,684.0,74.0
64,87.0,675.0,63.0
65,79.0,665.0,56.0
66,67.0,739.0,75.0
67,66.0,703.0,79.0
68,63.0,715.0,77.0
69,69.0,673.0,56.0
70,89.0,664.0,68.0
71,73.0,669.0,60.0
72,65.0,690.0,0.0
73,55.0,735.0,74.0
74,56.0,742.0,0.0
75,71.0,718.0,83.0
76,76.0,666.0,76.0
77,72.0,665.0,89.0
78,67.0,666.0,82.0
79,59.0,669.0,68.0
80,51.0,665.0,0.0
81,55.0,670.0,57.0
82,56.0,665.0,55.0
83,55.0,665.0,65.0
84,58.0,667.0,69.0
85,53.0,694.0,71.0
86,54.0,673.0,82.0
87,64.0,670.0,74.0
88,58.0,667.0,74.0
89,62.0,669.0,70.0
90,63.0,672.0,82.0
91,59.0,680.0,77.0
92,52.0,678.0,68.0
93,52.0,677.0,83.0
94,51.0,684.0,78.0
95,51.0,681.0,74.0
96,52.0,671.0,79.0
97,51.0,665.0,87.0
98,59.0,674.0,82.0
99,52.0,682.0,66.0
100,51.0,661.0,73.0
101,52.0,662.0,57.0
102,56.0,670.0,68.0
103,57.0,673.0,61.0
104,58.0,667.0,0.0
105,51.0,663.0,83.0
106,56.0,665.0,51.0
107,53.0,664.0,79.0
108,53.0,676.0,0.0
109,68.0,670.0,67.0
110,59.0,672.0,69.0
111,60.0,665.0,62.0
112,66.0,668.0,74.0
113,54.0,662.0,75.0
114,52.0,662.0,76.0
115,55.0,669.0,77.0
116,59.0,666.0,0.0
117,58.0,668.0,94.0
118,51.0,665.0,67.0
119,57.0,665.0,76.0
120,60.0,691.0,71.0
121,55.0,667.0,83.0
122,63.0,700.0,72.0
123,58.0,665.0,60.0
124,51.0,662.0,51.0
125,52.0,661.0,59.0
126,54.0,671.0,75.0
127,63.0,661.0,69.0
128,54.0,670.0,84.0
129,63.0,681.0,64.0
130,64.0,674.0,0.0
131,61.0,687.0,71.0
132,62.0,666.0,67.0
133,68.0,674.0,73.0
134,68.0,678.0,73.0
135,66.0,680.0,75.0
136,65.0,671.0,73.0
137,64.0,666.0,72.0
138,63.0,677.0,77.0
139,63.0,667.0,75.0
140,61.0,680.0,76.0
141,68.0,676.0,76.0
142,62.0,676.0,67.0
143,66.0,666.0,61.0
144,62.0,666.0,60.0
145,64.0,673.0,60.0
146,66.0,674.0,58.0
147,64.0,676.0,0.0
148,62.0,675.0,62.0
149,65.0,673.0,0.0
150,52.0,662.0,59.0
151,54.0,664.0,54.0
152,54.0,665.0,60.0
153,58.0,661.0,53.0
154,58.0,668.0,82.0
155,62.0,664.0,86.0
156,52.0,667.0,64.0
157,53.0,686.0,55.0
158,61.0,670.0,57.0
159,59.0,674.0,53.0
