,col1,col2,col3
0,87.0,443.0,51.0
1,76.0,465.0,52.0
2,56.0,459.0,66.0
3,52.0,450.0,58.0
4,55.0,453.0,61.0
5,103.0,451.0,54.0
6,111.0,443.0,69.0
7,53.0,441.0,54.0
8,55.0,442.0,67.0
9,56.0,447.0,54.0
10,57.0,442.0,0.0
11,54.0,442.0,55.0
12,58.0,454.0,62.0
13,56.0,453.0,53.0
14,65.0,441.0,0.0
15,53.0,441.0,65.0
16,51.0,447.0,68.0
17,61.0,442.0,64.0
18,53.0,441.0,54.0
19,61.0,445.0,61.0
20,71.0,448.0,66.0
21,53.0,441.0,60.0
22,54.0,441.0,71.0
23,59.0,446.0,64.0
24,75.0,443.0,59.0
25,63.0,453.0,58.0
26,65.0,452.0,81.0
27,60.0,441.0,70.0
28,61.0,455.0,72.0
29,76.0,447.0,78.0
30,67.0,457.0,83.0
31,206.0,445.0,95.0
32,197.0,442.0,105.0
33,83.0,452.0,112.0
34,88.0,446.0,141.0
35,88.0,447.0,136.0
36,134.0,447.0,93.0
37,204.0,442.0,104.0
38,71.0,441.0,95.0
39,73.0,443.0,110.0
40,135.0,445.0,88.0
41,77.0,441.0,113.0
42,75.0,445.0,113.0
43,75.0,445.0,0.0
44,52.0,446.0,59.0
45,52.0,456.0,71.0
46,55.0,450.0,72.0
47,53.0,443.0,62.0
48,63.0,445.0,72.0
49,63.0,443.0,57.0
50,66.0,441.0,86.0
51,54.0,442.0,81.0
52,71.0,444.0,63.0
53,53.0,456.0,86.0
54,52.0,443.0,58.0
55,57.0,448.0,53.0
56,60.0,444.0,86.0
57,52.0,442.0,90.0
58,53.0,442.0,73.0
59,53.0,442.0,78.0
60,85.0,445.0,68.0
61,53.0,443.0,75.0
62,68.0,448.0,74.0
63,71.0,441.0,63.0
64,66.0,443.0,88.0
65,164.0,445.0,118.0
66,95.0,452.0,0.0
67,143.0,447.0,135.0
68,201.0,442.0,0.0
69,133.0,447.0,117.0
70,80.0,448.0,176.0
71,95.0,450.0,133.0
72,175.0,455.0,103.0
73,171.0,442.0,106.0
74,146.0,449.0,94.0
75,91.0,443.0,156.0
76,158.0,460.0,97.0
77,85.0,443.0,0.0
78,93.0,445.0,106.0
79,103.0,445.0,165.0
80,167.0,449.0,118.0
81,89.0,443.0,115.0
82,157.0,445.0,132.0
83,130.0,445.0,125.0
84,103.0,451.0,89.0
85,118.0,443.0,132.0
86,105.0,457.0,83.0
87,95.0,446.0,159.0
88,156.0,442.0,118.0
89,104.0,455.0,85.0
90,180.0,442.0,92.0
91,111.0,441.0,148.0
92,174.0,453.0,89.0
93,167.0,444.0,99.0
94,101.0,455.0,82.0
95,119.0,448.0,194.0
96,115.0,445.0,0.0
97,93.0,442.0,206.0
98,118.0,442.0,81.0
99,97.0,441.0,205.0
100,98.0,445.0,144.0
101,99.0,443.0,122.0
102,94.0,447.0,213.0
103,179.0,447.0,90.0
104,90.0,443.0,149.0
105,110.0,446.0,169.0
106,91.0,445.0,193.0
107,91.0,457.0,84.0
108,94.0,454.0,93.0
109,93.0,455.0,164.0
110,115.0,442.0,154.0
111,89.0,454.0,91.0
112,129.0,449.0,90.0
113,143.0,444.0,127.0
114,136.0,445.0,91.0
115,89.0,448.0,108.0
116,115.0,443.0,79.0
117,90.0,460.0,100.0
118,77.0,441.0,74.0
119,76.0,447.0,84.0
120,77.0,446.0,84.0
121,80.0,445.0,76.0
122,79.0,446.0,0.0
123,74.0,442.0,71.0
124,71.0,450.0,73.0
125,82.0,447.0,69.0
126,77.0,446.0,77.0
127,94.0,442.0,77.0
128,83.0,441.0,72.0
129,70.0,441.0,70.0
130,68.0,445.0,67.0
131,85.0,442.0,76.0
132,83.0,444.0,90.0
133,86.0,444.0,105.0
134,102.0,450.0,83.0
135,53.0,445.0,61.0
136,58.0,442.0,66.0
137,60.0,448.0,78.0
138,69.0,444.0,82.0
139,56.0,444.0,67.0
140,75.0,448.0,0.0
141,83.0,458.0,73.0
142,99.0,457.0,83.0
143,109.0,456.0,93.0
144,89.0,446.0,86.0
145,80.0,442.0,86.0
146,79.0,447.0,83.0
147,81.0,471.0,86.0
148,84.0,461.0,0.0
149,85.0,458.0,89.0
150,86.0,460.0,0.0
151,91.0,475.0,99.0
152,96.0,465.0,104.0
153,105.0,475.0,108.0
154,104.0,508.0,112.0
155,111.0,472.0,114.0
156,108.0,474.0,112.0
157,107.0,470.0,113.0
158,109.0,482.0,113.0
159,109.0,481.0,113.0
160,111.0,474.0,113.0
161,111.0,481.0,113.0
162,112.0,478.0,114.0
163,112.0,479.0,0.0
164,113.0,479.0,0.0
165,116.0,483.0,114.0
166,118.0,477.0,114.0
167,118.0,484.0,113.0
168,119.0,486.0,114.0
169,120.0,483.0,112.0
170,119.0,476.0,108.0
171,122.0,476.0,108.0
172,121.0,480.0,103.0
173,118.0,476.0,81.0
174,105.0,455.0,60.0
175,68.0,443.0,57.0
176,56.0,446.0,68.0
177,58.0,443.0,0.0
178,62.0,451.0,64.0
179,69.0,449.0,58.0
180,72.0,456.0,0.0
181,71.0,448.0,61.0
182,75.0,451.0,0.0
183,74.0,464.0,0.0
184,77.0,458.0,65.0
185,82.0,455.0,61.0
186,82.0,460.0,51.0
187,72.0,449.0,0.0
188,65.0,442.0,51.0
189,65.0,443.0,51.0
190,63.0,444.0,0.0
191,64.0,453.0,57.0
192,60.0,458.0,66.0
193,58.0,465.0,74.0
194,53.0,461.0,82.0
195,58.0,466.0,80.0
196,70.0,457.0,69.0
197,75.0,458.0,0.0
198,74.0,443.0,65.0
199,53.0,449.0,67.0
200,56.0,445.0,67.0
201,55.0,443.0,64.0
202,71.0,465.0,64.0
203,86.0,464.0,0.0
204,78.0,452.0,62.0
205,81.0,451.0,56.0
206,78.0,447.0,56.0
207,80.0,442.0,61.0
208,98.0,450.0,64.0
209,101.0,453.0,66.0
210,96.0,464.0,60.0
211,106.0,467.0,58.0
212,97.0,457.0,55.0
213,98.0,468.0,52.0
214,101.0,481.0,59.0
215,102.0,465.0,65.0
216,95.0,466.0,60.0
217,102.0,467.0,63.0
218,100.0,462.0,61.0
219,100.0,463.0,0.0
220,97.0,457.0,66.0
221,98.0,461.0,69.0
222,97.0,465.0,70.0
223,101.0,463.0,71.0
224,98.0,449.0,80.0
225,103.0,457.0,79.0
226,101.0,462.0,74.0
227,99.0,450.0,73.0
228,97.0,464.0,0.0
229,97.0,451.0,70.0
230,97.0,463.0,69.0
231,98.0,446.0,73.0
232,95.0,458.0,72.0
233,95.0,457.0,74.0
234,98.0,451.0,74.0
235,91.0,476.0,77.0
236,96.0,457.0,78.0
237,91.0,476.0,80.0
238,88.0,453.0,72.0
239,92.0,450.0,71.0
240,91.0,472.0,0.0
241,76.0,447.0,75.0
242,61.0,451.0,0.0
243,117.0,474.0,70.0
244,91.0,448.0,60.0
245,84.0,448.0,56.0
246,79.0,447.0,0.0
247,77.0,447.0,51.0
248,78.0,453.0,53.0
249,76.0,443.0,0.0
250,77.0,446.0,0.0
251,74.0,449.0,0.0
252,78.0,442.0,56.0
253,70.0,452.0,52.0
254,68.0,444.0,0.0
255,68.0,451.0,52.0
256,69.0,441.0,54.0
257,68.0,443.0,56.0
258,68.0,450.0,51.0
259,73.0,441.0,55.0
260,83.0,450.0,60.0
261,72.0,460.0,64.0
262,80.0,443.0,54.0
263,74.0,441.0,57.0
264,87.0,442.0,54.0
265,75.0,456.0,61.0
266,56.0,447.0,62.0
267,54.0,446.0,73.0
268,55.0,441.0,56.0
269,51.0,449.0,69.0
270,51.0,443.0,61.0
271,53.0,442.0,73.0
272,56.0,444.0,63.0
