,A,B,C
0,796.0,62.0,90.0
1,788.0,64.0,98.0
2,805.0,68.0,90.0
3,802.0,73.0,86.0
4,787.0,79.0,82.0
5,798.0,77.0,81.0
6,778.0,76.0,0.0
7,782.0,75.0,82.0
8,795.0,73.0,0.0
9,790.0,71.0,82.0
10,793.0,69.0,84.0
11,800.0,71.0,0.0
12,787.0,70.0,85.0
13,789.0,71.0,85.0
14,784.0,70.0,85.0
15,798.0,71.0,84.0
16,792.0,68.0,85.0
17,801.0,70.0,86.0
18,780.0,68.0,0.0
19,801.0,70.0,83.0
20,789.0,71.0,85.0
21,796.0,68.0,85.0
22,798.0,71.0,0.0
23,785.0,70.0,84.0
24,793.0,70.0,85.0
25,801.0,69.0,87.0
26,792.0,68.0,0.0
27,799.0,71.0,85.0
28,793.0,68.0,85.0
29,794.0,66.0,92.0
30,790.0,68.0,0.0
31,796.0,68.0,87.0
32,800.0,71.0,86.0
33,782.0,70.0,0.0
34,804.0,72.0,85.0
35,790.0,74.0,0.0
36,785.0,70.0,86.0
37,788.0,69.0,87.0
38,793.0,69.0,0.0
39,788.0,72.0,85.0
40,787.0,69.0,87.0
41,795.0,68.0,86.0
42,787.0,68.0,0.0
43,788.0,71.0,86.0
44,792.0,68.0,87.0
45,785.0,68.0,0.0
46,800.0,68.0,89.0
47,793.0,71.0,90.0
48,784.0,70.0,88.0
49,800.0,69.0,90.0
50,792.0,71.0,87.0
51,786.0,68.0,86.0
52,792.0,70.0,88.0
53,786.0,70.0,87.0
54,785.0,70.0,88.0
55,797.0,73.0,87.0
56,789.0,72.0,0.0
57,789.0,71.0,87.0
58,789.0,70.0,92.0
59,788.0,69.0,0.0
60,799.0,70.0,88.0
61,784.0,73.0,87.0
62,787.0,73.0,0.0
63,801.0,72.0,86.0
64,791.0,71.0,87.0
65,775.0,68.0,87.0
66,800.0,68.0,87.0
67,782.0,71.0,88.0
68,790.0,71.0,90.0
69,771.0,70.0,0.0
70,792.0,70.0,90.0
71,793.0,73.0,89.0
72,794.0,74.0,89.0
73,791.0,71.0,90.0
74,789.0,72.0,91.0
75,793.0,71.0,80.0
76,792.0,71.0,107.0
77,786.0,69.0,87.0
78,797.0,72.0,86.0
79,792.0,69.0,93.0
80,783.0,72.0,90.0
81,792.0,70.0,87.0
82,793.0,70.0,90.0
83,795.0,73.0,87.0
84,792.0,71.0,89.0
85,794.0,75.0,86.0
86,787.0,70.0,87.0
87,795.0,73.0,89.0
88,781.0,71.0,93.0
89,788.0,70.0,0.0
90,794.0,72.0,88.0
91,791.0,71.0,90.0
92,792.0,71.0,0.0
93,793.0,71.0,87.0
94,796.0,71.0,88.0
95,790.0,68.0,86.0
96,792.0,74.0,89.0
97,799.0,71.0,86.0
98,790.0,72.0,0.0
99,788.0,71.0,89.0
