,A,B,C
0,680.0,57.0,51.0
1,689.0,184.0,161.0
2,736.0,51.0,175.0
3,0.0,59.0,52.0
4,0.0,99.0,97.0
5,0.0,164.0,120.0
6,0.0,117.0,60.0
7,0.0,194.0,99.0
8,723.0,324.0,165.0
9,0.0,68.0,55.0
10,0.0,124.0,69.0
11,683.0,83.0,58.0
12,0.0,59.0,129.0
13,0.0,177.0,114.0
14,0.0,112.0,108.0
15,0.0,95.0,53.0
16,0.0,120.0,66.0
17,0.0,87.0,75.0
18,0.0,96.0,76.0
19,0.0,152.0,107.0
20,0.0,110.0,52.0
21,688.0,195.0,190.0
22,0.0,301.0,77.0
23,698.0,119.0,115.0
24,0.0,200.0,134.0
25,0.0,126.0,131.0
26,0.0,252.0,135.0
27,0.0,179.0,65.0
28,0.0,109.0,80.0
29,745.0,96.0,106.0
30,737.0,159.0,166.0
31,0.0,197.0,91.0
32,0.0,66.0,54.0
33,0.0,127.0,85.0
34,0.0,159.0,98.0
35,0.0,136.0,88.0
36,0.0,151.0,80.0
37,0.0,134.0,105.0
38,0.0,86.0,59.0
39,0.0,221.0,122.0
40,0.0,92.0,61.0
41,0.0,86.0,72.0
42,0.0,146.0,57.0
43,0.0,122.0,67.0
44,0.0,66.0,56.0
45,0.0,172.0,115.0
46,772.0,271.0,172.0
47,750.0,176.0,56.0
48,774.0,137.0,97.0
49,0.0,189.0,121.0
50,0.0,69.0,53.0
51,730.0,267.0,113.0
52,0.0,240.0,125.0
53,0.0,108.0,78.0
54,0.0,128.0,95.0
55,0.0,51.0,58.0
56,0.0,153.0,108.0
57,0.0,154.0,107.0
58,690.0,80.0,144.0
59,0.0,228.0,147.0
60,0.0,109.0,101.0
61,693.0,81.0,148.0
62,0.0,233.0,161.0
63,0.0,91.0,90.0
64,0.0,157.0,98.0
65,768.0,275.0,207.0
66,714.0,172.0,148.0
67,0.0,164.0,95.0
68,0.0,145.0,80.0
69,0.0,123.0,74.0
70,0.0,96.0,152.0
71,0.0,203.0,127.0
72,0.0,238.0,125.0
73,0.0,133.0,60.0
74,0.0,54.0,86.0
75,0.0,95.0,99.0
76,0.0,176.0,59.0
77,0.0,136.0,65.0
78,0.0,89.0,71.0
79,0.0,132.0,109.0
80,0.0,94.0,71.0
81,0.0,266.0,85.0
82,0.0,116.0,139.0
83,0.0,133.0,60.0
84,0.0,116.0,100.0
85,0.0,64.0,54.0
86,720.0,210.0,103.0
87,0.0,78.0,77.0
88,855.0,127.0,261.0
89,701.0,193.0,119.0
90,0.0,211.0,144.0
91,0.0,151.0,60.0
92,792.0,241.0,125.0
93,0.0,155.0,89.0
94,0.0,125.0,91.0
95,0.0,76.0,57.0
96,0.0,149.0,133.0
97,0.0,158.0,105.0
98,0.0,117.0,74.0
99,0.0,112.0,73.0
