A,B,C
589,54,86
607,80,0
595,57,0
594,54,0
607,89,51
591,65,0
596,82,0
584,51,0
599,92,0
597,55,0
593,79,58
581,69,0
583,73,0
601,62,0
585,67,0
593,62,0
602,64,0
591,75,0
589,78,0
587,82,0
646,104,0
620,87,59
601,84,0
617,88,0
612,87,0
616,84,0
611,84,0
600,82,0
614,75,0
606,63,0
633,108,55
592,77,0
610,54,53
599,81,0
598,79,0
583,65,0
590,80,0
582,73,0
589,84,0
595,80,0
608,69,53
592,70,104
583,71,0
586,66,0
593,64,0
613,61,0
613,60,0
589,58,0
581,63,0
625,65,0
626,72,0
614,57,0
621,65,0
583,59,0
645,65,0
610,73,0
619,66,0
583,74,52
584,78,0
631,59,0
590,61,0
625,51,0
614,61,0
587,74,0
625,74,0
629,62,0
636,74,0
619,56,0
605,71,0
639,56,0
616,72,0
615,71,0
581,68,64
681,136,279
590,68,133
582,55,63
583,61,0
620,67,0
626,60,0
609,76,0
622,56,0
618,59,0
608,56,0
613,55,0
606,57,0
614,51,0
614,61,0
603,68,0
617,63,0
587,67,0
597,65,0
593,64,0
597,69,0
623,65,0
594,75,0
614,53,0
589,54,0
598,64,0
598,64,0
601,64,0
