A,B,C
646,57,69
656,52,57
663,51,0
648,51,0
652,52,54
666,53,51
654,62,0
663,51,53
655,52,65
640,53,60
661,52,0
637,61,0
645,64,0
642,60,0
647,51,0
645,52,53
678,63,0
642,52,0
651,56,0
645,67,0
657,65,0
656,58,55
668,58,61
644,58,0
649,60,59
650,65,51
667,66,0
645,53,0
646,57,57
667,68,61
675,58,63
679,61,63
652,53,58
647,51,66
656,53,0
631,51,0
649,51,65
660,64,54
633,60,66
671,61,64
646,54,0
639,51,61
648,62,53
655,52,0
657,53,59
637,54,62
642,53,54
642,56,52
643,52,0
662,53,57
640,53,57
644,54,54
633,51,0
649,56,62
651,52,54
641,56,52
643,51,0
642,56,56
647,57,57
651,51,68
645,52,0
662,58,55
647,54,0
641,61,53
673,59,0
661,64,52
656,64,0
657,61,54
665,53,0
629,51,53
650,59,53
660,69,53
654,58,57
656,60,0
666,55,54
646,59,53
645,51,0
652,72,53
639,72,0
659,64,56
658,62,0
642,51,0
656,62,0
670,89,0
650,57,59
644,65,0
670,58,56
678,68,62
650,75,0
652,60,56
650,68,61
641,62,0
694,68,60
648,54,0
653,72,60
671,96,66
680,71,53
643,59,63
656,60,0
637,77,74
