,A,B,C
0,677.0,53.0,53.0
1,684.0,57.0,0.0
2,0.0,52.0,0.0
3,0.0,67.0,0.0
4,0.0,0.0,74.0
5,673.0,0.0,109.0
6,708.0,92.0,89.0
7,0.0,0.0,62.0
8,690.0,0.0,81.0
9,674.0,61.0,0.0
10,0.0,95.0,55.0
11,0.0,63.0,0.0
12,0.0,59.0,107.0
13,698.0,98.0,105.0
14,0.0,78.0,0.0
15,679.0,71.0,0.0
16,0.0,80.0,75.0
17,0.0,57.0,0.0
18,683.0,72.0,63.0
19,702.0,0.0,73.0
20,690.0,58.0,0.0
21,0.0,81.0,0.0
22,0.0,64.0,0.0
23,0.0,61.0,0.0
24,0.0,54.0,55.0
25,0.0,66.0,0.0
26,0.0,94.0,85.0
27,0.0,0.0,90.0
28,0.0,63.0,0.0
29,680.0,0.0,68.0
30,699.0,55.0,73.0
31,695.0,87.0,0.0
32,707.0,87.0,82.0
33,0.0,95.0,83.0
34,0.0,0.0,62.0
35,0.0,57.0,0.0
36,0.0,55.0,73.0
37,0.0,61.0,60.0
38,0.0,0.0,86.0
39,0.0,69.0,85.0
40,693.0,99.0,0.0
41,0.0,0.0,70.0
42,686.0,0.0,0.0
43,686.0,61.0,79.0
44,691.0,0.0,71.0
45,685.0,88.0,0.0
46,0.0,57.0,71.0
47,0.0,0.0,75.0
48,0.0,0.0,58.0
49,0.0,54.0,0.0
50,671.0,0.0,58.0
51,677.0,0.0,57.0
52,675.0,75.0,0.0
53,0.0,70.0,72.0
54,672.0,66.0,82.0
55,0.0,0.0,65.0
56,0.0,0.0,69.0
57,0.0,52.0,0.0
58,0.0,0.0,52.0
59,0.0,61.0,0.0
60,0.0,0.0,64.0
61,691.0,0.0,0.0
62,0.0,74.0,0.0
63,0.0,67.0,61.0
64,0.0,61.0,0.0
65,680.0,72.0,0.0
66,0.0,0.0,75.0
67,682.0,0.0,0.0
68,0.0,65.0,75.0
69,676.0,52.0,0.0
70,677.0,0.0,0.0
71,0.0,0.0,70.0
72,682.0,82.0,0.0
73,0.0,0.0,66.0
74,675.0,0.0,0.0
75,686.0,66.0,0.0
76,0.0,0.0,80.0
77,680.0,67.0,0.0
78,0.0,0.0,79.0
79,0.0,0.0,64.0
80,0.0,53.0,85.0
81,0.0,56.0,67.0
82,671.0,74.0,78.0
83,0.0,53.0,0.0
84,0.0,0.0,51.0
85,0.0,59.0,0.0
86,0.0,54.0,80.0
87,0.0,52.0,0.0
88,672.0,0.0,0.0
89,0.0,68.0,0.0
90,685.0,54.0,0.0
91,0.0,84.0,0.0
92,769.0,0.0,62.0
93,0.0,0.0,86.0
94,0.0,0.0,52.0
95,0.0,66.0,61.0
96,0.0,0.0,55.0
97,0.0,52.0,0.0
98,0.0,58.0,0.0
99,0.0,51.0,0.0
